項目,日期,完成日期,狀態,說明,備註,支援人員,支援類別,對象,經銷商,聯絡人,展碁人員,部門,CSA 類別,Solution Play,產品,一般分類,費用,虛擬金額,申請 Incentive,微軟協助人員
Defender Suite for M365 Business Premium 推廣,2025/10/8 下午 03:30,2025/10/8 下午 04:00,完成,Reseller monthly Webinar,,Aaron,Webinar,經銷商,All,,PM Vala,KS101,Security,,Defender Suite for M365 Business Premium,Defender,0,"2,000",0,Desray
Copilot Agent 技術移轉給 Partner xxx,2025/10/2 上午 12:00,2025/10/2 上午 12:00,完成,Copilot Agent 技術移轉給 Partner xxx,,Nick,1:1 Workshop,reseller,,,Bruno,,AIBS,,,Copilot Agent,0,0,0,
SOS救命網規劃,2025/10/1 上午 12:00,2025/10/1 上午 12:00,完成,SOS救命網規劃設計,,Lucas,Win case,,蓋亞,,,,CAIP,,,Azure,,,,
陽明交大Github採購建議需求討論,2025/10/15 下午 04:00,2025/10/15 下午 05:00,完成,陽明交大Github採購建議需求討論,,Nick,技術支援,customer,,,,,AIBS,,,Github Copilot,,"6,000",,Tina
鈦度科技 介紹azure open ai,2025/10/15 下午 03:00,2025/10/15 下午 04:00,完成,鈦度科技 介紹與說明azure open ai 一般模型與PTU的差別,,Nick,技術支援,customer,,,,,AIBS,,,Azure,,,,
網際智慧 Azure webapp auto scaling,2025/10/15 上午 12:00,2025/10/16 下午 01:16,進行中,Azure web app auto scaling 的常用規則說明,,Lucas,Win case,customer,網際智慧,,,,CAIP,,azure,Azure,,,,
getchee Inc - 微軟copilot種類與應用介紹,2025/9/24 下午 02:00,2025/9/24 下午 04:00,完成,"說明微軟copilot系列應用:github copilot, copilot studio, m365 copilot",,Nick,1:many Workshop,customer,,,,,,,,Copilot Studio,,,,
富國融資 AI使用問題確認,2025/9/4 上午 10:00,2025/9/4 上午 11:00,完成,確認與協助排除AOAI使用問題,,Nick,除錯,customer,,,,,CAIP,,,Azure,,,,
AI安全与零信任训练营的技术培训 ,2025/10/16 上午 12:00,2025/10/16 上午 12:00,完成,AI安全与零信任训练营的技术培训 ,,Lucas,,,,,,,Security,,,Security,,,,Lu Li
燃耀 90 - 搶占 AI 雲端新機遇,2025/9/25 下午 02:00,2025/9/25 下午 03:00,完成,Azure AI Fundry 說明,,Nick,Webinar,,,,,,AIBS,,,,,,,
漢門azure移轉諮詢,2025/10/3 上午 12:00,2025/10/16 下午 01:26,完成,漢門azure移轉諮詢,,Lucas,Win case,,,,,,CAIP,,,Azure,,,,
巨昇科技 Azure 儲存體使用問題,2025/10/2 上午 12:00,2025/10/16 下午 01:30,,巨昇科技需要確認自己的azure儲存體當前使用的TLS版本，提供查詢腳本範例,,Lucas,Win case,,,,,,CAIP,,,Azure,,,,
齊瑞 Basic to Standard IP 設定升級問題,2025/9/30 上午 12:00,2025/10/30 上午 12:00,完成,齊瑞 Basic to Standard IP 設定升級問題，想要了解如果不處理會怎麼樣，及手動升級報錯的處理,,Lucas,Azure Update,,,,,,CAIP,,,Azure,,,,
微軟升級導航站:迎向 Windows 11 與 AI 新時代 ,2025/9/26 下午 02:00,2025/9/26 下午 02:30,完成,說明AI部分,,Nick,Webinar,reseller,,,,,AIBS,,,Copilot Studio,,,,
鼎浩資源-M365設定確認,2025/9/10 上午 10:00,2025/9/10 上午 11:00,完成,"單一授權裝多台設備說明與確認, 與共用帳戶資安問題說明",,Nick,技術支援,customer,,,,,Security,,,M365,,,,
SureStep learning journey,2025/10/10 上午 12:00,2025/10/16 下午 01:38,進行中,SureStep 學院很多線上課程要觀看及考試,,Lucas,受訓,,,,,,CAIP,,,Azure,,,,
安道創新 - copilot studio with Azure-AI-Search workshop,2025/9/17 下午 02:00,2025/9/17 下午 04:00,完成,copilot studio with Azure-AI-Search workshop,,Nick,1:1 Workshop,reseller,,,,,AIBS,,,Copilot Studio,,,,
AI 安全与零信任训练营,2025/10/16 上午 10:00,2025/10/16 上午 11:30,完成,,,Aaron,受訓,,,,,,Security,,,Security,,,,Lu Li
Microsoft 365 商務進階版介紹,2025/10/16 上午 11:00,2025/10/16 下午 12:00,完成,拜訪斐嶺資訊,,Aaron,經銷商產品訓練,經銷商,斐嶺資訊,,,,Security,,,Security,,,,
Microsoft 365 商務進階版介紹,2025/10/16 下午 02:00,2025/10/16 下午 03:00,完成,,,Aaron,經銷商產品訓練,,若谷資訊,,,,Security,,,Security,,,,
Protrade PST上海同仁升級M365授權及使用Intune管理裝置事宜,2025/10/2 下午 03:00,2025/10/2 下午 04:00,完成,,,Aaron,經銷商產品訓練,,,,,,Security,,,,,,,
M365 資安相關功能顧問服務,2025/9/22 下午 04:30,2025/9/22 下午 05:30,完成,,,Aaron,經銷商產品訓練,,科益國際,,,,Security,,,,,,,
AIP/MIP防護,2025/9/22 下午 02:00,2025/9/22 下午 02:30,完成,,,Aaron,經銷商產品訓練,,精誠軟體,,,,Security,,,,,,,
海能 Microsoft 365 Tenant to Tenant,2025/9/26 下午 11:00,2025/10/16 下午 05:51,進行中,,,Aaron,Implement,,,,,,,,,,,,,
Microsoft 365 商務進階版介紹,2025/10/30 下午 05:00,2025/10/30 下午 06:00,完成,,,Aaron,經銷商產品訓練,經銷商,春秋資訊,,,,Security,,,Security,,,,
SGS Copilot Studio教育訓練 討論,2025/11/3 上午 10:00,2025/11/3 上午 11:00,完成,SGS Copilot Studio教育訓練 討論,案件來自微軟pass,Nick,Solution introduction,customer,,,,,AIBS,,,Copilot Studio,,,,
pchome github 問題開單協助,2025/11/3 下午 03:00,2025/11/3 下午 03:30,完成,"pchome使用的github關聯azure失敗, 指導使用者向github原廠開立案件",,Nick,除錯,customer,,,,,AIBS,,,Github Copilot,,"6,000",,Tina
微软安全加速月 - Microsoft Sentinel and Beyond,2025/11/12 下午 04:00,2025/11/12 下午 05:29,完成,參加 微软安全加速月 - Microsoft Sentinel and Beyond 線上課程,,Aaron,受訓,,,,,,Security,,,Security,,,,
Microsoft 365 升級與資安建議,2025/11/17 上午 10:00,2025/11/17 上午 10:30,完成,"Microsoft 365 升級與資安建議
目前使用商務基本版與商務標準版
建議升級至 Microsoft 365 商務進階版 + Microsoft Purview Suite",ISO 27001 導入,Aaron,經銷商產品訓練,customer,群睿資訊,,,,Security,,,Security,,,,
M365& Copilot Training,2025/11/17 下午 02:00,2025/11/17 下午 03:00,完成,TAFK東麗M365& Copilot Training,,Aaron,Training,customer,天微,,,,,,,Copilot for M365,,,,
雲知識補給:Azure AI Foundry,2025/11/10 下午 02:00,2025/11/10 下午 02:30,完成,雲知識補給:Azure AI Foundry,,Nick,Webinar,reseller,,,,,AIBS,,,Azure,,,,
M365產品介紹與導入評估說明,2025/11/18 下午 04:00,2025/11/18 下午 04:30,完成,"中國電器 x 微軟M365產品介紹與導入評估說明
預計從網擎更換至 Microsoft 365 
建議版本 Microsoft 365 商務進階版，並介紹相關安全解決方案",,Aaron,,,敦陽,,,,,,,Security,,,,
